destroyed_buildings,destroyed_pixels,event_name,event_type,folder,image_fname,image_id,light_damaged_buildings,light_damaged_pixels,mask_fname,medium_damaged_buildings,medium_damaged_pixels,non_damaged_buildings,non_damaged_pixels,sample_id
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000000_post_disaster.png,guatemala-volcano_00000000_post_disaster,0,0,train\masks\guatemala-volcano_00000000_post_disaster.png,0,0,9,15938,00000000
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000000_pre_disaster.png,guatemala-volcano_00000000_pre_disaster,0,0,train\masks\guatemala-volcano_00000000_pre_disaster.png,0,0,9,15965,00000000
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000001_post_disaster.png,guatemala-volcano_00000001_post_disaster,4,2560,train\masks\guatemala-volcano_00000001_post_disaster.png,0,0,0,0,00000001
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000001_pre_disaster.png,guatemala-volcano_00000001_pre_disaster,0,0,train\masks\guatemala-volcano_00000001_pre_disaster.png,0,0,4,2567,00000001
1,2498,guatemala-volcano,post,train,train\images\guatemala-volcano_00000002_post_disaster.png,guatemala-volcano_00000002_post_disaster,0,0,train\masks\guatemala-volcano_00000002_post_disaster.png,0,0,0,0,00000002
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000002_pre_disaster.png,guatemala-volcano_00000002_pre_disaster,0,0,train\masks\guatemala-volcano_00000002_pre_disaster.png,0,0,1,2498,00000002
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000006_post_disaster.png,guatemala-volcano_00000006_post_disaster,0,0,train\masks\guatemala-volcano_00000006_post_disaster.png,0,0,96,46737,00000006
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000006_pre_disaster.png,guatemala-volcano_00000006_pre_disaster,0,0,train\masks\guatemala-volcano_00000006_pre_disaster.png,0,0,96,46737,00000006
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000007_post_disaster.png,guatemala-volcano_00000007_post_disaster,0,0,train\masks\guatemala-volcano_00000007_post_disaster.png,0,0,8,9728,00000007
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000007_pre_disaster.png,guatemala-volcano_00000007_pre_disaster,0,0,train\masks\guatemala-volcano_00000007_pre_disaster.png,0,0,8,9728,00000007
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000008_post_disaster.png,guatemala-volcano_00000008_post_disaster,0,0,train\masks\guatemala-volcano_00000008_post_disaster.png,0,0,0,0,00000008
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000008_pre_disaster.png,guatemala-volcano_00000008_pre_disaster,0,0,train\masks\guatemala-volcano_00000008_pre_disaster.png,0,0,0,0,00000008
1,71,guatemala-volcano,post,train,train\images\guatemala-volcano_00000010_post_disaster.png,guatemala-volcano_00000010_post_disaster,0,0,train\masks\guatemala-volcano_00000010_post_disaster.png,0,0,0,0,00000010
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000010_pre_disaster.png,guatemala-volcano_00000010_pre_disaster,0,0,train\masks\guatemala-volcano_00000010_pre_disaster.png,0,0,1,71,00000010
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000013_post_disaster.png,guatemala-volcano_00000013_post_disaster,0,0,train\masks\guatemala-volcano_00000013_post_disaster.png,0,0,12,20235,00000013
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000013_pre_disaster.png,guatemala-volcano_00000013_pre_disaster,0,0,train\masks\guatemala-volcano_00000013_pre_disaster.png,0,0,12,20235,00000013
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000015_post_disaster.png,guatemala-volcano_00000015_post_disaster,0,0,train\masks\guatemala-volcano_00000015_post_disaster.png,0,0,97,61139,00000015
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000015_pre_disaster.png,guatemala-volcano_00000015_pre_disaster,0,0,train\masks\guatemala-volcano_00000015_pre_disaster.png,0,0,97,61134,00000015
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000016_post_disaster.png,guatemala-volcano_00000016_post_disaster,2,145,train\masks\guatemala-volcano_00000016_post_disaster.png,0,0,5,9945,00000016
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000016_pre_disaster.png,guatemala-volcano_00000016_pre_disaster,0,0,train\masks\guatemala-volcano_00000016_pre_disaster.png,0,0,7,10090,00000016
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000017_post_disaster.png,guatemala-volcano_00000017_post_disaster,0,0,train\masks\guatemala-volcano_00000017_post_disaster.png,0,0,47,20292,00000017
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000017_pre_disaster.png,guatemala-volcano_00000017_pre_disaster,0,0,train\masks\guatemala-volcano_00000017_pre_disaster.png,0,0,47,20308,00000017
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000018_post_disaster.png,guatemala-volcano_00000018_post_disaster,2,533,train\masks\guatemala-volcano_00000018_post_disaster.png,0,0,9,5913,00000018
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000018_pre_disaster.png,guatemala-volcano_00000018_pre_disaster,0,0,train\masks\guatemala-volcano_00000018_pre_disaster.png,0,0,11,6446,00000018
1,1995,guatemala-volcano,post,train,train\images\guatemala-volcano_00000019_post_disaster.png,guatemala-volcano_00000019_post_disaster,1,2187,train\masks\guatemala-volcano_00000019_post_disaster.png,3,750,14,26855,00000019
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000019_pre_disaster.png,guatemala-volcano_00000019_pre_disaster,0,0,train\masks\guatemala-volcano_00000019_pre_disaster.png,0,0,19,31876,00000019
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000023_post_disaster.png,guatemala-volcano_00000023_post_disaster,0,0,train\masks\guatemala-volcano_00000023_post_disaster.png,0,0,116,59578,00000023
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000023_pre_disaster.png,guatemala-volcano_00000023_pre_disaster,0,0,train\masks\guatemala-volcano_00000023_pre_disaster.png,0,0,116,59576,00000023
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000024_post_disaster.png,guatemala-volcano_00000024_post_disaster,0,0,train\masks\guatemala-volcano_00000024_post_disaster.png,0,0,45,26652,00000024
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000024_pre_disaster.png,guatemala-volcano_00000024_pre_disaster,0,0,train\masks\guatemala-volcano_00000024_pre_disaster.png,0,0,45,26641,00000024
14,6601,guatemala-volcano,post,train,train\images\guatemala-volcano_00000025_post_disaster.png,guatemala-volcano_00000025_post_disaster,0,0,train\masks\guatemala-volcano_00000025_post_disaster.png,5,2002,56,66756,00000025
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000025_pre_disaster.png,guatemala-volcano_00000025_pre_disaster,0,0,train\masks\guatemala-volcano_00000025_pre_disaster.png,0,0,70,75391,00000025
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000026_post_disaster.png,guatemala-volcano_00000026_post_disaster,0,0,train\masks\guatemala-volcano_00000026_post_disaster.png,0,0,23,7358,00000026
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000026_pre_disaster.png,guatemala-volcano_00000026_pre_disaster,0,0,train\masks\guatemala-volcano_00000026_pre_disaster.png,0,0,23,7358,00000026
0,0,guatemala-volcano,post,train,train\images\guatemala-volcano_00000027_post_disaster.png,guatemala-volcano_00000027_post_disaster,0,0,train\masks\guatemala-volcano_00000027_post_disaster.png,0,0,21,15526,00000027
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000027_pre_disaster.png,guatemala-volcano_00000027_pre_disaster,0,0,train\masks\guatemala-volcano_00000027_pre_disaster.png,0,0,21,15559,00000027
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000000_post_disaster.png,hurricane-florence_00000000_post_disaster,0,0,train\masks\hurricane-florence_00000000_post_disaster.png,0,0,103,138344,00000000
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000000_pre_disaster.png,hurricane-florence_00000000_pre_disaster,0,0,train\masks\hurricane-florence_00000000_pre_disaster.png,0,0,103,138506,00000000
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000001_post_disaster.png,hurricane-florence_00000001_post_disaster,2,2482,train\masks\hurricane-florence_00000001_post_disaster.png,0,0,87,98460,00000001
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000001_pre_disaster.png,hurricane-florence_00000001_pre_disaster,0,0,train\masks\hurricane-florence_00000001_pre_disaster.png,0,0,89,101009,00000001
