destroyed_buildings,destroyed_pixels,event_name,event_type,folder,image_fname,image_id,light_damaged_buildings,light_damaged_pixels,mask_fname,medium_damaged_buildings,medium_damaged_pixels,non_damaged_buildings,non_damaged_pixels,sample_id,fold
0,0,hurricane-harvey,pre,train,train\images\hurricane-harvey_00000000_pre_disaster.png,hurricane-harvey_00000000_pre_disaster,0,0,train\masks\hurricane-harvey_00000000_pre_disaster.png,0,0,28,50402,0,0
0,0,hurricane-matthew,pre,train,train\images\hurricane-matthew_00000000_pre_disaster.png,hurricane-matthew_00000000_pre_disaster,0,0,train\masks\hurricane-matthew_00000000_pre_disaster.png,0,0,20,28818,0,3
0,0,hurricane-michael,pre,train,train\images\hurricane-michael_00000000_pre_disaster.png,hurricane-michael_00000000_pre_disaster,0,0,train\masks\hurricane-michael_00000000_pre_disaster.png,0,0,53,63024,0,3
0,0,mexico-earthquake,pre,train,train\images\mexico-earthquake_00000000_pre_disaster.png,mexico-earthquake_00000000_pre_disaster,0,0,train\masks\mexico-earthquake_00000000_pre_disaster.png,0,0,196,448161,0,4
0,0,palu-tsunami,pre,train,train\images\palu-tsunami_00000000_pre_disaster.png,palu-tsunami_00000000_pre_disaster,0,0,train\masks\palu-tsunami_00000000_pre_disaster.png,0,0,67,68506,0,0
0,0,portugal-wildfire,pre,tier3,tier3\images\portugal-wildfire_00000000_pre_disaster.png,portugal-wildfire_00000000_pre_disaster,0,0,tier3\masks\portugal-wildfire_00000000_pre_disaster.png,0,0,5,2077,0,1
0,0,woolsey-fire,pre,tier3,tier3\images\woolsey-fire_00000000_pre_disaster.png,woolsey-fire_00000000_pre_disaster,0,0,tier3\masks\woolsey-fire_00000000_pre_disaster.png,0,0,3,4191,0,3
0,0,joplin-tornado,pre,tier3,tier3\images\joplin-tornado_00000000_pre_disaster.png,joplin-tornado_00000000_pre_disaster,0,0,tier3\masks\joplin-tornado_00000000_pre_disaster.png,0,0,185,198073,0,3
0,0,lower-puna-volcano,pre,tier3,tier3\images\lower-puna-volcano_00000000_pre_disaster.png,lower-puna-volcano_00000000_pre_disaster,0,0,tier3\masks\lower-puna-volcano_00000000_pre_disaster.png,0,0,1,140,0,1
0,0,moore-tornado,pre,tier3,tier3\images\moore-tornado_00000000_pre_disaster.png,moore-tornado_00000000_pre_disaster,0,0,tier3\masks\moore-tornado_00000000_pre_disaster.png,0,0,53,90663,0,2
0,0,nepal-flooding,pre,tier3,tier3\images\nepal-flooding_00000000_pre_disaster.png,nepal-flooding_00000000_pre_disaster,0,0,tier3\masks\nepal-flooding_00000000_pre_disaster.png,0,0,0,0,0,4
0,0,pinery-bushfire,pre,tier3,tier3\images\pinery-bushfire_00000000_pre_disaster.png,pinery-bushfire_00000000_pre_disaster,0,0,tier3\masks\pinery-bushfire_00000000_pre_disaster.png,0,0,0,0,0,1
0,0,tuscaloosa-tornado,pre,tier3,tier3\images\tuscaloosa-tornado_00000000_pre_disaster.png,tuscaloosa-tornado_00000000_pre_disaster,0,0,tier3\masks\tuscaloosa-tornado_00000000_pre_disaster.png,0,0,8,18011,0,4
0,0,sunda-tsunami,pre,tier3,tier3\images\sunda-tsunami_00000000_pre_disaster.png,sunda-tsunami_00000000_pre_disaster,0,0,tier3\masks\sunda-tsunami_00000000_pre_disaster.png,0,0,0,0,0,2
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000000_pre_disaster.png,hurricane-florence_00000000_pre_disaster,0,0,train\masks\hurricane-florence_00000000_pre_disaster.png,0,0,103,138506,0,3
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000000_pre_disaster.png,guatemala-volcano_00000000_pre_disaster,0,0,train\masks\guatemala-volcano_00000000_pre_disaster.png,0,0,9,15965,0,4
0,0,palu-tsunami,pre,train,train\images\palu-tsunami_00000001_pre_disaster.png,palu-tsunami_00000001_pre_disaster,0,0,train\masks\palu-tsunami_00000001_pre_disaster.png,0,0,31,23542,1,4
0,0,sunda-tsunami,pre,tier3,tier3\images\sunda-tsunami_00000001_pre_disaster.png,sunda-tsunami_00000001_pre_disaster,0,0,tier3\masks\sunda-tsunami_00000001_pre_disaster.png,0,0,196,234624,1,3
0,0,midwest-flooding,pre,train,train\images\midwest-flooding_00000001_pre_disaster.png,midwest-flooding_00000001_pre_disaster,0,0,train\masks\midwest-flooding_00000001_pre_disaster.png,0,0,131,139978,1,4
0,0,socal-fire,pre,train,train\images\socal-fire_00000001_pre_disaster.png,socal-fire_00000001_pre_disaster,0,0,train\masks\socal-fire_00000001_pre_disaster.png,0,0,0,0,1,0
0,0,woolsey-fire,pre,tier3,tier3\images\woolsey-fire_00000001_pre_disaster.png,woolsey-fire_00000001_pre_disaster,0,0,tier3\masks\woolsey-fire_00000001_pre_disaster.png,0,0,0,0,1,1
0,0,joplin-tornado,pre,tier3,tier3\images\joplin-tornado_00000001_pre_disaster.png,joplin-tornado_00000001_pre_disaster,0,0,tier3\masks\joplin-tornado_00000001_pre_disaster.png,0,0,196,195054,1,4
0,0,lower-puna-volcano,pre,tier3,tier3\images\lower-puna-volcano_00000001_pre_disaster.png,lower-puna-volcano_00000001_pre_disaster,0,0,tier3\masks\lower-puna-volcano_00000001_pre_disaster.png,0,0,4,1853,1,1
0,0,hurricane-harvey,pre,train,train\images\hurricane-harvey_00000001_pre_disaster.png,hurricane-harvey_00000001_pre_disaster,0,0,train\masks\hurricane-harvey_00000001_pre_disaster.png,0,0,71,212774,1,1
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000001_pre_disaster.png,guatemala-volcano_00000001_pre_disaster,0,0,train\masks\guatemala-volcano_00000001_pre_disaster.png,0,0,4,2567,1,1
0,0,moore-tornado,pre,tier3,tier3\images\moore-tornado_00000001_pre_disaster.png,moore-tornado_00000001_pre_disaster,0,0,tier3\masks\moore-tornado_00000001_pre_disaster.png,0,0,0,0,1,1
0,0,nepal-flooding,pre,tier3,tier3\images\nepal-flooding_00000001_pre_disaster.png,nepal-flooding_00000001_pre_disaster,0,0,tier3\masks\nepal-flooding_00000001_pre_disaster.png,0,0,56,40133,1,4
0,0,portugal-wildfire,pre,tier3,tier3\images\portugal-wildfire_00000001_pre_disaster.png,portugal-wildfire_00000001_pre_disaster,0,0,tier3\masks\portugal-wildfire_00000001_pre_disaster.png,0,0,50,34473,1,0
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000001_pre_disaster.png,hurricane-florence_00000001_pre_disaster,0,0,train\masks\hurricane-florence_00000001_pre_disaster.png,0,0,89,101009,1,2
0,0,hurricane-matthew,pre,train,train\images\hurricane-matthew_00000001_pre_disaster.png,hurricane-matthew_00000001_pre_disaster,0,0,train\masks\hurricane-matthew_00000001_pre_disaster.png,0,0,2,508,1,0
0,0,hurricane-michael,pre,train,train\images\hurricane-michael_00000001_pre_disaster.png,hurricane-michael_00000001_pre_disaster,0,0,train\masks\hurricane-michael_00000001_pre_disaster.png,0,0,93,153860,1,1
0,0,pinery-bushfire,pre,tier3,tier3\images\pinery-bushfire_00000001_pre_disaster.png,pinery-bushfire_00000001_pre_disaster,0,0,tier3\masks\pinery-bushfire_00000001_pre_disaster.png,0,0,1,88,1,3
0,0,tuscaloosa-tornado,pre,tier3,tier3\images\tuscaloosa-tornado_00000001_pre_disaster.png,tuscaloosa-tornado_00000001_pre_disaster,0,0,tier3\masks\tuscaloosa-tornado_00000001_pre_disaster.png,0,0,10,7568,1,1
0,0,mexico-earthquake,pre,train,train\images\mexico-earthquake_00000001_pre_disaster.png,mexico-earthquake_00000001_pre_disaster,0,0,train\masks\mexico-earthquake_00000001_pre_disaster.png,0,0,97,211678,1,2
0,0,woolsey-fire,pre,tier3,tier3\images\woolsey-fire_00000002_pre_disaster.png,woolsey-fire_00000002_pre_disaster,0,0,tier3\masks\woolsey-fire_00000002_pre_disaster.png,0,0,7,6225,2,3
0,0,hurricane-harvey,pre,train,train\images\hurricane-harvey_00000002_pre_disaster.png,hurricane-harvey_00000002_pre_disaster,0,0,train\masks\hurricane-harvey_00000002_pre_disaster.png,0,0,64,476149,2,2
0,0,joplin-tornado,pre,tier3,tier3\images\joplin-tornado_00000002_pre_disaster.png,joplin-tornado_00000002_pre_disaster,0,0,tier3\masks\joplin-tornado_00000002_pre_disaster.png,0,0,102,93213,2,2
0,0,nepal-flooding,pre,tier3,tier3\images\nepal-flooding_00000002_pre_disaster.png,nepal-flooding_00000002_pre_disaster,0,0,tier3\masks\nepal-flooding_00000002_pre_disaster.png,0,0,42,23112,2,1
0,0,tuscaloosa-tornado,pre,tier3,tier3\images\tuscaloosa-tornado_00000002_pre_disaster.png,tuscaloosa-tornado_00000002_pre_disaster,0,0,tier3\masks\tuscaloosa-tornado_00000002_pre_disaster.png,0,0,23,61212,2,1
0,0,portugal-wildfire,pre,tier3,tier3\images\portugal-wildfire_00000002_pre_disaster.png,portugal-wildfire_00000002_pre_disaster,0,0,tier3\masks\portugal-wildfire_00000002_pre_disaster.png,0,0,0,0,2,4
0,0,lower-puna-volcano,pre,tier3,tier3\images\lower-puna-volcano_00000002_pre_disaster.png,lower-puna-volcano_00000002_pre_disaster,0,0,tier3\masks\lower-puna-volcano_00000002_pre_disaster.png,0,0,2,103,2,4
0,0,guatemala-volcano,pre,train,train\images\guatemala-volcano_00000002_pre_disaster.png,guatemala-volcano_00000002_pre_disaster,0,0,train\masks\guatemala-volcano_00000002_pre_disaster.png,0,0,1,2498,2,2
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000002_pre_disaster.png,hurricane-florence_00000002_pre_disaster,0,0,train\masks\hurricane-florence_00000002_pre_disaster.png,0,0,6,2866,2,0
0,0,pinery-bushfire,pre,tier3,tier3\images\pinery-bushfire_00000002_pre_disaster.png,pinery-bushfire_00000002_pre_disaster,0,0,tier3\masks\pinery-bushfire_00000002_pre_disaster.png,0,0,7,1846,2,3
0,0,palu-tsunami,pre,train,train\images\palu-tsunami_00000002_pre_disaster.png,palu-tsunami_00000002_pre_disaster,0,0,train\masks\palu-tsunami_00000002_pre_disaster.png,0,0,155,238901,2,4
0,0,santa-rosa-wildfire,pre,train,train\images\santa-rosa-wildfire_00000002_pre_disaster.png,santa-rosa-wildfire_00000002_pre_disaster,0,0,train\masks\santa-rosa-wildfire_00000002_pre_disaster.png,0,0,92,80021,2,2
0,0,midwest-flooding,pre,train,train\images\midwest-flooding_00000002_pre_disaster.png,midwest-flooding_00000002_pre_disaster,0,0,train\masks\midwest-flooding_00000002_pre_disaster.png,0,0,11,16531,2,3
